F0000, Hanoi, Ho Chi Minh City, 2023/09/24 11:41, 2023/09/24 11:41, 90
F0001, Paris, London, 2023/09/25 13:15, 2023/09/25 16:30, 120
F0002, New York, Los Angeles, 2023/09/26 08:30, 2023/09/26 11:45, 150
F0003, Los Angeles, Chicago, 2023/09/27 10:20, 2023/09/27 13:35, 110
F0004, Chicago, Miami, 2023/09/28 14:50, 2023/09/28 17:05, 80
F0005, New York City, Los Angeles, 2023/09/29 12:15, 2023/09/29 15:30, 140
F0006, Los Angeles, Chicago, 2023/09/30 09:45, 2023/09/30 12:00, 100
F0007, Chicago, Miami, 2023/10/01 11:30, 2023/10/01 14:45, 70
F0008, Miami, Houston, 2023/10/02 15:55, 2023/10/02 19:10, 120
F0009, Houston, Dallas, 2023/10/03 17:20, 2023/10/03 20:35, 110
F1111, Tp.HCM, Ha Noi, 2023/10/18 10:30, 2023/10/19 11:00, 1
F1111, Tp.HCM, Ha Noi, 2023/10/18 10:30, 2023/10/19 11:00, 1
F1111, Tp.HCM, Ha Noi, 2023/10/18 10:30, 2023/10/19 11:00, 1
F2222, ben tre, hcm, 2023/12/12 10:12, 2023/12/12 10:30, 20
F3333, ha noi, ben tre, 2023/01/01 10:30, 2023/01/01 11:30, 30
